textid|text|obscurity|density|lengthr
2124|...but my kinswoman made no effort to rise. I spoke gently to her. She burst into tears and sobbed pleadingly, "I don't want to go, Clark, I don't want to go!" I understood. For her, just outside the door of the concert-hall, lay the black pond with the cattle-tracked bluffs, the tall, unpainted house, naked as a tower, with weather-curled boards; the crook-backed ash-seedlings where the dishcloths hung to dry, the gaunt, moulting turkeys picking up refuse about the kitchen door.|6.9390297|5.8611097|6.6985574
2187|The pair traveled through the starry skies, and though they encountered many other comets, not one of them held Luma's mother. Luma was despondent. "Now, now, Luma. The rain clouds won't go away if you keep crying," the girl said, giving Luma a squeeze. "I'll give you a present if you stop." The girl closed her eyes and said gently, "I'll take care of you." With these words, she felt a small spark in her heart.|5.9437447|7.4659085|6.278984
1854|The amenities of life have been chasing my soul. And my mind is transcendental, and I'm losing all control. And I'm sinking in the quagmire of illusions and Thoreau. I cry out "My name is T-Bone" as a hound-dog digs a hole. You ask so many questions, what answers should I choose? Is this Plato's heebie-jeebies or just existential blues?|7.7162647|6.70916|5.668974
1324|I know! You'd think a swank joint like this could spring for a real box of crayons! Oh, and watch your vocab, Kim, "ludicrous" is kind of a grownup word. Remember, you're 12, so maybe "doofy" or "stupido"?|7.8303146|9.180942|4.036025
1434|Finally, the plumber! The garbage disposal is backed up again. The same one you fixed last week, by the way! And while you're at it- Oh, who needs to see that?! Oh, I'll be in the other room. Oh, I mean for crying out loud- What, you're done already? But, you've only been here for like, 15 seconds. And I've been talking for like, half of that. What kind of a plumber are you? A platypus plumber? Perry the platypus plumber? Perry the Platypus!|6.402439|6.571353|6.479313
2166|The FitnessGram Pacer Test is a multistage aerobic capacity test that progressively gets more difficult as it continues. The 20 meter pacer test will begin in 30 seconds. Line up at the start. The running speed starts slowly, but gets faster each minute after you hear this signal. A single lap should be completed each time you hear this sound. Remember to run in a straight line, and run as long as possible. The second time you fail to complete a lap before the sound, your test is over. The test will begin on the word start. On your mark, get ready... start!|7.1810303|4.8944354|7.0505724
2189|Our story begins a very, very long time ago with a young girl. One day, this girl spotted a rusted spaceship holding a small star child. "What's your name? Are you lost?" the girl asked the star child. "I'm Luma, and I'm waiting for Mama. She's coming for me on a comet!" said the star child, who had been waiting day and night. "Don't worry, I'll wait with you," the little girl promised Luma.|5.597664|7.8673344|6.135943
21|This beastly predator's aggressive ejection of high-speed projectiles makes it one of the most fearsome creatures in the ecosystem. Its body seems to comprise of both biological and mechanical components, and represents one of the most evolutionarily advanced specimens ever observed. The chamber within its torso gives it rapid-fire bio-pellet launch capabilities. What appears to be a tail fin is in fact the base of its counter-weight and ammunition cylinder, so immobilizing this appendage will prevent the groink from attacking... at least in theory. Confirmation of this suspicion remains elusive, as nobody has volunteered to test it.|7.6023407|4.0463634|7.304604
1271|Cherry MX Brown and Cherry MX Brown RGB switches are tactile-style switches, with a bump along the travel path that provides confirmation every time a keypress is registered. These switches are a balance between click switches and linear switches in terms of audio feedback provided and the force needed to register a keypress. They are preferred by gamers who prioritize accuracy over speed and users who enjoy instantly knowing whether a key was pressed.|8.196051|4.6614723|6.544645
213|I don't know how much you understand about what is happening outside your locked room, but strangely enough (despite your personality), you have a number of loyal idiots working on your behalf. I have already established an elite body called The Knights of the Idiotic Table. We will be holding an annual dinner at which we'll have fun talking crap about you. (No, you're not invited).|6.4073772|7.119803|6.067753
238|While some enzymes methylate the tails of histone proteins, a different set of enzymes can methylate certain bases in the DNA itself, usually cytosine. Such DNA methylation occurs in most plants, animals, and fungi. Long stretches of inactive DNA, such as that of inactivated mammalian X chromosomes.|9.461201|5.423308|5.287135
2177|Refreshed by food, Dill recited this narrative: having been bound in chains and left to die in the basement, Dill worked himself free by pulling the chains from the wall. Still in wrist manacles, he wandered two miles out of Meridian where he discovered a small animal show and was immediately engaged to wash the camel. He traveled with the show all over Mississippi until his infallible sense of direction told him he was in Abbott County, Alabama, just across the river from Maycomb. He walked the rest of the way. "How'd you get here?" asked Jem.|6.479315|5.537658|7
2218|I had seen him cry a few times before. It only happened when he was singing or when someone else sang a song that moved him. He played the three-string shamisen, which Kiyo and I called his "pinko-pinko." We would laugh together when we heard him plucking it and whining out Japanese melodies. We would hold our ears and giggle. It was always a great joke between us, except for those rare times when Papa began to weep at the lyrics. Then we would just stare quietly - as I did that night - from some hidden corner of the room. This was always mysterious and incomprehensible.|6.3311844|5.4632077|7.102179
1373|No? Well, he'll look fabulous anyway. Your boy's suit I designed to withstand enormous friction without heating up or wearing out. A useful feature. Your daughter's suit was tricky. But I finally created a sturdy material that will disappear completely as she does. Your suit can stretch as far as you can, without injuring yourself, and still retain its shape. Virtually indestructible... yet it breathes like Egyptian cotton. As an extra feature, each suit contains a homing device, giving you the precise global location of the wearer at the touch of a button. Well, darling? What do you think?|7.01655|4.670828|7.1710744
2174|This time, I split my knuckle to the bone on his front teeth. My left impaired, I sailed in with my right, but not for long. Uncle Jack pinned my arms to my sides and said, "Stand still!" Aunt Alexandra ministered to Francis, wiping his tears away with her handkerchief, rubbing his hair, patting his cheek. Atticus, Jem, and Uncle Jimmy had come to the back porch when Francis started yelling. Who started this? said Uncle Jack.|6.591173|6.33591|6.379014
1638|Yeah, I knew Lotso. He was a good toy. A friend. Me and him, we had the same kid, Daisy. I was there when Lotso got unwrapped. Daisy loved us all. But Lotso, Lotso was special. They did everything together. You've never seen a kid and a toy more in love. One day, we took a drive, hit a rest stop, had a little playtime. After lunch, Daisy fell asleep. She never came back. Lotso wouldn't give up. It took forever, but we finally made it back to Daisy's. But by then, it was too late. Something changed that day inside Lotso, something snapped.|6.402258|5.546197|6.9757586
1859|"You know," said Arthur, "it's at times like this, when I'm trapped in a Vogon airlock with a man from Betelgeuse, and about to die of asphyxiation in deep space that I really wish I'd listened to what my mother told me when I was young." Why, what did she tell you? "I don't know, I didn't listen."|6.377125|8.255445|5.2762833
1879|I'm waking up, I am alive but I feel so strange. All I remind is the invincible line of the enemies. I see my fall as if I'm living it now. But I'm here, I'm chained to this metal bed. I'm alive, what's happened that day? Where am I now? What is this iron room? Please, help me now! Look to your right, I heard a voice inside my mind, "You will no longer live your old life". Inside your cells there's something you're gonna pay: your DNA. I look to the right, I see the planet Earth through a glass. I'm in their starship out in space, I've been captured by alien scum.|5.4707336|6.2278204|7.0767365
28|The Terminator's an infiltration unit. Part man, part machine. Underneath, it's a hyperalloy combat chassis, microprocessor-controlled, fully armored. Very tough but outside, it's living human tissue. Flesh, skin, hair, blood. Grown for the cyborgs.|10.332267|5.365926|4.674572
1367|Complaints? I can handle. What I can't handle is your customers' inexplicable knowledge of Insuricare's inner workings! They're experts! Experts, Bob! Exploiting every loophole, dodging every obstacle! They're penetrating the bureaucracy!|9.808869|6.1092887|4.5252914
2181|One night, the girl dreamed about her own mother. "Where are you going?" she asked her mother's retreating back. Without turning, her mother replied, "Don't fret, dearest. I'm not going anywhere. I'm always watching over you, like the sun in the day and the moon in the night." A wave of sadness washed over the girl. "What about when it rains, and I can't see the sun or the moon?" Her mother thought for a moment before responding. "I will turn into a star in the clouds and wait for your tears to dry."|4.559868|7.474244|6.803212
1432|Oh! Agent P! It appears that Doofenshmirtz has made some rather unusual purchases: chicken wire, three metric tons of baking soda, and lederhosen. You know, those leather windpipe shorts that make you look like a walking cuckoo clock? Man, he is one sick puppy.|10.045972|5.3365345|4.8301187
1396|Oh, are you my new temp? Well, let me just get you up to speed. I know it's a bit of a mess. I'm just putting the finishing touches of my latest maniacal plan. You see, in a few minutes, I will unleash an unprecedented reign of terror upon the entire... Tri-State Area! And Perry the Platypus will never be the wiser. Perry the Platypus?! You're a temp? Are times that hard?|6.9213142|6.46134|5.9810133
1379|Oh, I'm real. Real enough to defeat YOU! And I did it without your precious gifts, your oh-so-special powers. I'll give them heroics. I'll give them the most spectacular heroics anyone's ever seen! And when I'm old and I've had my fun, I'll sell my inventions so that everyone can be superheroes. Everyone can be super! And when everyone's super... no one will be.|7.1404476|6.3809257|5.8987846
1312|"Ace reporter Ron Stoppable, heralded for breaking the story of TV fake. Adrena Lynn's ratings plummet faster than her fake fall." Can this get any more annoying?|9.948807|7.8384767|3.2936897
784|The Kia Stinger. Despite its stunning good looks and an impressive spec sheet, we didn't quite know what to make of the red four-door liftback when it first rolled up to the front door. After all, this is the Korean company's first serious attempt at a sport sedan, whereas we knew what to expect from Hyundai's then-new Genesis luxury marque, a premium sporty midsize Kia aimed at the Germans was quite the proposal.|8.097038|4.7799335|6.299472
1261|Buzz Lightyear Mission Log. Stardate 4072: My ship has run off course en route to Sector 12. I've crash landed on a strange planet. The impact must have awoken me from hyper-sleep. Terrain seems a bit unstable. No read-out yet if the air is breathable and there seems to be no signs of intelligent life anywhere.|8.101192|6.1744385|5.414029
414|I don't get it. I made my house a mess, which was making it clean, which made Squidward clean my yard, but that really means he's messing it up. But the opposite of clean is filth, which means filth is clean, that means Squidward is really making my yard a wreck, but I normally wreck my own yard which means Squidward is being the opposite of Squidward which means he's SpongeBob!|8.826773|4.4329085|6.036651
240|For twelve years you've been asking "Who is John Galt?" This is John Galt speaking. I'm the man who's taken away your victims and thus destroyed your world. You've heard it said that this is an age of moral crisis and that Man's sins are destroying the world. But your chief virtue has been sacrifice, and you've demanded more sacrifices at every disaster. You've sacrificed justice to mercy and happiness to duty. So why should you be afraid of the world around you?|6.392538|5.861496|6.60717
217|Only boxers can understand the loneliness of tennis players - and yet boxers have their corner men and managers. Even a boxer's opponent provides a kind of companionship, someone he can grapple with and grunt at. In tennis you stand face-to-face with the enemy, trade blows with him, but never touch him or talk to him, or anyone else. The rules forbid a tennis player from even talking to his coach while on the court. People sometimes mention the track-and-field runner as a comparably lonely figure, but I have to laugh. At least the runner can feel and smell his opponents. They're inches away. In tennis you're on an island. Of all the games men and women play, tennis is the closest to solitary confinement.|6.48913|4.315571|7.478319
1525|The grip or leumluath (lem-loo-ah) is a movement from Low G, "D" grace note, Low G, back to the melody note. Like the D throw, it is important to play the first Low G clearly. Notice that the grip on a D uses a B instead of a D grace note.|6.794029|8.726454|4.539135
1617|It's out with the old and in with the new. Goodbye clouds of gray, hello skies of blue. A dip in the pool, a trip to the spa, endless days in my chaise, the whole world according to moi. Excuse me? Thank you. Iced tea imported from England. Lifeguards imported from Spain. Towels imported from Turkey, and turkey imported from Maine. We're gonna relax and renew. You go do! I want fabulous, that is my simple request. All things fabulous, bigger and better and best. I need something inspiring to help me get along. I need a little fabulous, is that so wrong?|6.5908394|4.9084144|7.0352902
1418|Oh, hey, Agent P. So, get this, I got this memo this morning on Doofenshmirtz, and someone abbreviated his name in it. Guess how they wrote it? Doof! The Doof! It's times like these when you really appreciate having a cool name like Monogram.|9.423117|6.0996976|4.580335
2054|I feel the sun on my face. I see trees all around me, the scent of wildflowers on a breeze. It's so beautiful. In this moment, I'm not stranded in space. It's been 97 years since a nuclear apocalypse killed everyone on Earth, leaving the planet simmering in radiation. Fortunately, there were survivors. 12 nations had operational space stations at the time of the bombs. There is now only the Ark, one station forged from the many. We're told the Earth needs another 100 years to become survivable again. Four more space-locked generations and man can go home, back to the ground. The ground, that's the dream. This is reality.|6.0131207|5.0679884|7.267563
1654|Freedom, calls my name. Serenity, keeps me sane. Happiness, it dulls the pain. Honest, to see my place. Open, to other ways. Willingness, to understand. Justice, but do not judge. Courtesy, for others' flaws. Kindness, it's not that hard. Self-restraint, of tongue and pen. Inventory, my daily friend. Analysis, let down your guard. Look in the mirror, what do you see? The shattered fortress that once bound me.|7.083723|5.6283593|6.265188
1513|Exactly my point! He was the Phantom of the Opera on Broadway. Now my mom, she's seen that musical twenty-seven times. And she put Michael Crawford's picture in our refrigerator. Yeah, not on it, in it. So my point is, if you play basketball, you're gonna end up on a cereal box. If you sing in musicals, you're gonna end up in my mom's refrigerator.|7.9707394|5.5196605|5.7780075
2199|We are taught not to gamble. Perhaps it is thought we have lost enough already: legs, vision, speech, the typical use of our bodies. Others' fears would teach us to cringe at any thought of any risk. Disability and risk don't mix. Risk is something we are supposed to be protected from - by agencies, by professionals - by parents, by doctors - by invisibility, by shame - by confinement if necessary. We must be kept safe: This is one of the lies which fills the beds of the so-called "homes." So we embrace the risks to fight the lies.|5.80315|5.7309995|6.9467335
1402|Ah, Perry the Platypus. Your timing is impeccable. And by "impeccable," I mean completely peccable!|10.803235|8.938019|1.9479227
2183|She remembered rubbing the sleep out of her eyes as she followed her father up that hill to look at the stars... she remembered having picnics with her mother on that hill on bright and windy days... and... "I want to go home! I want to go home right now!" The girl burst into tears, and the Lumas didn't know what to do. The girl was shouting now, her face wet with tears. "But I know she's not there! I knew all along that she wasn't out there in the sky! Because... because... she's sleeping under the tree on the hill!" The girl's cries echoed through the stars, and a hush fell over the area.|4.473854|6.640498|7.1710744
783|Asked about aerodynamics, Reichman emphasized his team's concern for stability, this is a rather fast vehicle after all. This encouraged serious testing to confirm its capabilities, including making use of computational fluid dynamics, a far cry from using tufts of yarn taped to an already-determined form. For a large vehicle, the weight is much less than some of its rivals, in part due to materials choices. The main structure is aluminum, but to avoid the high-stress, high-weight problems of a rear liftgate, the team made the entire frame for the rear opening out of composites and made the lift panel composite, as well.|7.283777|3.7560527|7.267563
2281|The bottom line? Today's organic farming practices are probably best deployed in fruit and vegetable farms, where growing nutrition (not just bulk calories) is the primary goal. But for delivering sheer calories, especially in our staple crops of wheat, rice, maize, soybeans and so on, conventional farms have the advantage right now.|7.9745216|5.6172233|5.6408896
1834|"Here I am and here I remain!", he barked. There was an abortive movement of flagons toward mouths - stopped as the Duke remained with arm upraised. "My toast is one of those maxims so dear to our hearts: 'Business makes progress! Fortune passes everywhere!'"|6.5659065|8.288811|4.804709
1439|I trusted you, Nicky. I welcomed you into my home. We broke bread together. Grandmama made you a cannoli. And how did you repay my generosity? With a rug, made from the butt of a skunk. A skunk butt rug. You disrespected me. You disrespected my Grandmama, whom I buried in that skunk butt rug. I told you never to show your face here again, but here you are, snooping around with this... What are you, a performer? What's with the costume?|6.942131|5.2394805|6.4424496
1073|What car enthusiast doesn't love a small, two-seat roadster with a manual gearbox and a high-revving dual overhead cam engine? For those reasons and many others, Honda's S2000 sports car, launched for the 2000 model year, became an instant hit.|9.041563|6.0487485|4.607529
2204|Use why-how laddering to flesh out varying user needs and find a middle ground that's both meaningful and actionable. As a general rule, asking "why" yields abstract statements and asking "how" yields specific statements. Often times abstract statements are more meaningful, but not as actionable. The opposite is true of more specific statements.|7.0649147|6.1152434|5.751237
1241|Woody, you're not a collector's item. You're a child's plaything. You... are... A TOY! For how much longer? One more rip, and Andy's done with me. And what do I do then, Buzz? Huh? You tell me! Somewhere in that pad of stuffing is a toy who taught me that life's only worth living if you're being loved by a kid. And I traveled all this way to rescue that toy because I believed him.|6.2000065|6.400173|6.052264
964|It's all meaningless. No matter what dreams or hopes you had, it's all the same if you're shredded by rocks. Everyone will die someday. Does that mean life is meaningless? Would you say that of our fallen comrades? Their lives, were they meaningless? No, they weren't! It's us who gives meaning to our fallen comrade's lives! We die trusting the living who follow to find meaning in our lives! That is the sole method in which we can rebel against this cruel world!|6.622751|5.0993066|6.596005
2032|"All of it, all of it," Hammond said. "Everything on that island is state-of-the-art. You'll see for yourself, Donald. It's perfectly wonderful. That's why this... concern... is so misplaced. There's absolutely no problem with the island."|6.108124|8.888662|4.539135
1742|The naming conventions of Python's library are a bit of a mess, so we'll never get this completely consistent - nevertheless, here are the currently recommended naming standards. New modules and packages (including third party frameworks) should be written to these standards, but where an existing library has a different style, internal consistency is preferred.|7.348852|5.4580817|5.8987846
2141|As psychologists developed and refined IQ testing, classification systems were established, and any child with an IQ of above 70 was considered "normal", while those with scores above 130 were considered "gifted".|7.2967224|8.273824|4.160619
2084|"I won't shout at you," Nynaeve shouted. "And all the rest, too. I promise, you... you...!" She gobbled on the edge of swallowing her tongue as she realized she could not call him one of the names he warranted without breaking the promise already. And yet, the effect of her shout was most gratifying.|6.005348|7.6837325|5.297943
67|You know what? You're right. He was just a stupid bureaucrat. A stupid paper-pushing bureaucrat. A stupid I-dotting, chair squashing... Oh. No offense, Hermes. You're not like that. I mean, you're exactly like that, but you're okay!|8.578552|6.56455|4.44106
2156|I begin to call Morrie "Coach," the way I used to address my high school track coach. Morrie likes the nickname. "Coach," he says. "All right, I'll be your coach. And you can be my player. You can play all the lovely parts of life that I'm too old for now."|5.659025|8.821112|4.7790956
2152|Well son, I'll tell you: life for me ain't been no crystal stair. It's had tacks in it, and splinters, and boards torn up, and places with no carpet on the floor - bare. But all the time I'se been a-climbin' on, and reachin' landin's, and turnin' corners, and sometimes goin' in the dark where there ain't been no light. So boy, don't you turn back. Don't you set down on the steps 'cause you finds it's kinder hard. Don't you fall now - for I'se still goin', honey, I'se still climbin, and life for me ain't been no crystal stair.|5.730606|5.300169|6.9212008
1885|Alone I walk among the twisting shadows, tempted by the ancient magic: the Power of Five. My desire to mirror my own image and I will offer you no soul - offer you no soul. Tonight darkness will shadow the light. Symmetry divine, there's no force greater dividing the Fathers of Time. Feel my hate, I'm banished to this wasteland. My Serpents plot the overthrow of your temples and shrines. In the night, my army's rage and fury burning my shadow into the land, vengeance by my hand.|6.5068398|4.9172225|6.6933517
1255|Why would Andy want you? Look at you! You're a Buzz Lightyear! Any other toy would give up his moving parts just to be you. You've got wings, you glow in the dark, you talk, your helmet does that... that whoosh thing. You're a cool toy. As a matter of fact, you're too cool. I mean - what chance does a toy like me have against a Buzz Lightyear action figure?|6.780548|5.9900856|5.8564224
1882|Such a pathetic display of valor! You are naught but insignificant worms before the infinite power of Zargothrax! Now, the solar conjunction is at hand, my ascension to godhood is inevitable! And there is NOTHING you can do to stop me. Worship my omnipotence!|8.3170185|6.1980743|4.804709
2319|Our agile brain processes many things simultaneously by means of parallel processing. To focus on this multitrack processing, one information-processing model, connectionism, views memories as products of interconnected neural networks. Specific memories arise from particular activation patterns within these networks. Every time you learn something new, your brain's neural connections change, forming and strengthening pathways that allow you to interact with and learn from your constantly changing environment.|7.882328|3.3292115|6.850047
1612|I see what's happening, yeah. You're face to face with greatness and it's strange. You don't even know how you feel, it's adorable! Well, it's nice to see that humans never change. Open your eyes, let's begin. Yes, it's really me, it's Maui, breathe it in. I know it's a lot, the hair, the bod, when you're staring at a demigod. What can I say except you're welcome, for the tides, the sun, the sky. Hey, it's okay, it's okay, you're welcome. I'm just an ordinary demi-guy!|6.2169895|5.267356|6.640135
2395|Everybody in the world needs to do this. Everybody in the world needs to see. It was unbelieveable. Unbelieveable. I mean, the little things, the weightlessness. But to see the blue color go whip by, and now you're staring into blackness. That's the thing... And there's something you shoot through, and all of a sudden, as though you whip a sheet off you when you're asleep, and you're looking into blackness, into black ugliness. And you look down. There's the blue down there and black up there. And there is mother Earth and comfort. And up there... is that death? I don't know.|5.6757736|5.0072308|7.1199217
1355|Superladies, they're always trying to tell you their secret identity. Think it'll strengthen the relationship or something like that. I said, "Girl, I don't want to know about your mild-mannered alter ego." Or anything like that. I mean, you tell me you're a super-mega-ultra-lightning-babe, that's all right with me. I'm good. I'm good.|6.451851|6.60045|5.65965
